anio,estado,num_categorias,num_catalogos
2018,aguascalientes,41,9
2019,aguascalientes,41,9
2020,aguascalientes,41,9
2021,aguascalientes,41,9
2022,aguascalientes,42,9
2023,aguascalientes,41,9
2024,aguascalientes,42,8
2018,baja california,41,9
2019,baja california,41,9
2020,baja california,41,9
2021,baja california,41,8
2022,baja california,42,9
2023,baja california,41,9
2024,baja california,42,9
2018,baja california sur,41,9
2019,baja california sur,41,9
2020,baja california sur,40,9
2021,baja california sur,40,9
2022,baja california sur,42,9
2023,baja california sur,41,9
2024,baja california sur,42,9
2018,campeche,40,9
2019,campeche,40,9
2020,campeche,40,9
2021,campeche,40,9
2022,campeche,41,9
2023,campeche,40,9
2024,campeche,41,8
2018,chiapas,41,9
2019,chiapas,41,9
2020,chiapas,41,9
2021,chiapas,40,9
2022,chiapas,41,9
2023,chiapas,41,8
2024,chiapas,39,7
2018,chihuahua,41,9
2019,chihuahua,41,9
2020,chihuahua,35,5
2021,chihuahua,41,9
2022,chihuahua,42,9
2023,chihuahua,41,9
2024,chihuahua,42,9
2018,ciudad de mexico,41,9
2019,ciudad de mexico,41,9
2020,ciudad de mexico,41,9
2021,ciudad de mexico,41,9
2022,ciudad de mexico,42,9
2023,ciudad de mexico,41,9
2024,ciudad de mexico,42,9
2018,coahuila de zaragoza,41,9
2019,coahuila de zaragoza,41,9
2020,coahuila de zaragoza,41,9
2021,coahuila de zaragoza,41,9
2022,coahuila de zaragoza,42,9
2023,coahuila de zaragoza,41,9
2024,coahuila de zaragoza,42,9
2018,colima,41,9
2019,colima,41,9
2020,colima,36,4
2018,durango,41,9
2019,durango,41,9
2020,durango,41,9
2021,durango,41,9
2022,durango,42,9
2023,durango,41,9
2024,durango,42,8
2018,estado de mexico,41,9
2019,estado de mexico,41,9
2020,estado de mexico,41,9
2021,estado de mexico,41,9
2022,estado de mexico,42,9
2023,estado de mexico,41,9
2024,estado de mexico,42,9
2018,guanajuato,41,9
2019,guanajuato,41,9
2020,guanajuato,41,9
2021,guanajuato,41,9
2022,guanajuato,42,9
2023,guanajuato,41,9
2024,guanajuato,42,8
2018,guerrero,41,9
2019,guerrero,41,9
2020,guerrero,41,8
2021,guerrero,41,8
2022,guerrero,41,7
2023,guerrero,39,6
2024,guerrero,42,8
2018,hidalgo,40,9
2019,hidalgo,41,9
2020,hidalgo,41,9
2021,hidalgo,41,9
2022,hidalgo,42,8
2023,hidalgo,41,9
2024,hidalgo,41,7
2018,jalisco,41,9
2019,jalisco,41,9
2020,jalisco,41,9
2021,jalisco,41,9
2022,jalisco,42,9
2023,jalisco,41,9
2024,jalisco,42,9
2018,michoacan de ocampo,41,9
2019,michoacan de ocampo,41,9
2020,michoacan de ocampo,41,9
2021,michoacan de ocampo,41,9
2022,michoacan de ocampo,42,9
2023,michoacan de ocampo,41,9
2024,michoacan de ocampo,41,9
2018,morelos,41,9
2019,morelos,41,9
2020,morelos,36,5
2021,morelos,41,9
2022,morelos,42,9
2023,morelos,41,9
2024,morelos,42,9
2018,nayarit,41,9
2019,nayarit,40,8
2020,nayarit,29,3
2018,nuevo leon,41,9
2019,nuevo leon,41,9
2020,nuevo leon,41,9
2021,nuevo leon,41,9
2022,nuevo leon,42,9
2023,nuevo leon,41,9
2024,nuevo leon,42,9
2018,oaxaca,41,9
2019,oaxaca,41,8
2020,oaxaca,40,9
2021,oaxaca,41,9
2022,oaxaca,42,8
2023,oaxaca,41,8
2024,oaxaca,42,8
2018,puebla,41,8
2019,puebla,41,8
2020,puebla,41,8
2021,puebla,41,8
2022,puebla,42,8
2023,puebla,41,8
2024,puebla,42,8
2018,queretaro,41,9
2019,queretaro,41,9
2020,queretaro,41,9
2021,queretaro,41,9
2022,queretaro,42,9
2023,queretaro,41,9
2024,queretaro,42,9
2018,quintana roo,40,9
2019,quintana roo,40,9
2020,quintana roo,40,9
2021,quintana roo,40,9
2022,quintana roo,41,9
2023,quintana roo,40,9
2024,quintana roo,41,8
2018,san luis potosi,41,9
2019,san luis potosi,41,9
2020,san luis potosi,41,9
2021,san luis potosi,41,9
2022,san luis potosi,42,9
2023,san luis potosi,41,9
2024,san luis potosi,42,8
2018,sinaloa,41,9
2019,sinaloa,41,9
2020,sinaloa,41,9
2021,sinaloa,41,9
2022,sinaloa,41,9
2023,sinaloa,27,5
2024,sinaloa,25,4
2018,sonora,41,9
2019,sonora,41,9
2020,sonora,40,6
2021,sonora,41,9
2022,sonora,42,9
2023,sonora,41,9
2024,sonora,42,8
2018,tabasco,41,9
2019,tabasco,40,9
2020,tabasco,40,9
2021,tabasco,40,9
2022,tabasco,41,9
2023,tabasco,40,9
2024,tabasco,41,8
2018,tamaulipas,41,9
2019,tamaulipas,41,9
2020,tamaulipas,41,9
2021,tamaulipas,41,9
2022,tamaulipas,42,9
2023,tamaulipas,41,9
2024,tamaulipas,42,9
2018,tlaxcala,41,9
2019,tlaxcala,41,9
2020,tlaxcala,41,9
2021,tlaxcala,41,9
2022,tlaxcala,42,9
2023,tlaxcala,41,9
2024,tlaxcala,42,8
2018,veracruz,41,9
2019,veracruz,41,9
2020,veracruz,40,9
2021,veracruz,41,9
2022,veracruz,42,9
2023,veracruz,41,9
2024,veracruz,42,9
2018,yucatan,41,9
2019,yucatan,40,9
2020,yucatan,40,9
2021,yucatan,41,9
2022,yucatan,41,9
2023,yucatan,40,9
2024,yucatan,41,9
2018,zacatecas,41,9
2019,zacatecas,41,9
2020,zacatecas,41,9
2021,zacatecas,41,9
2022,zacatecas,42,9
2023,zacatecas,41,9
2024,zacatecas,42,9
